,Date,global_id,AdmArea,District,Longitude_WGS84,Latitude_WGS84,Location,Results,geoData,Rank
3277,11.09.2018,904345296,Юго-Восточный административный округ,район Кузьминки,37.775918,55.702394,"Волгоградский проспект, дом, 110, корпус 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.775918, 55.702394]}",0
3278,11.09.2018,904345298,Юго-Восточный административный округ,Южнопортовый район,37.675559,55.702089,"улица Трофимова, дом 22, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.675559, 55.702089]}",0
3279,02.09.2018,904345300,Северо-Восточный административный округ,район Марьина Роща,37.609443,55.808184,"17- й проезд Марьиной Рощи, дом 11",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.609443, 55.808184]}",0
3280,14.09.2018,904345301,Юго-Восточный административный округ,район Некрасовка,37.924230,55.681128,"Некрасовская улица, дом 7",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.92423, 55.681128]}",0
3281,11.09.2018,904345302,Восточный административный округ,район Новокосино,37.858554,55.734881,"Салтыковская улица, дом 7, корпус 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.858554, 55.734881]}",0
3282,02.09.2018,904345304,Северо-Восточный административный округ,Алексеевский район,37.657476,55.817704,"улица Константинова, дом 20",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.657476, 55.817704]}",0
3283,13.09.2018,904345306,Восточный административный округ,район Новогиреево,37.799275,55.742549,"Перовская улица, дом 66, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.799275, 55.742549]}",0
3284,02.09.2018,904345307,Северо-Восточный административный округ,район Бибирево,37.622055,55.889144,"улица Плещеева, дом 28",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.622055, 55.889144]}",0
3285,15.09.2018,904345308,Юго-Восточный административный округ,район Люблино,37.761096,55.680636,"Новороссийская улица, дом 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.761096, 55.680636]}",0
3286,02.09.2018,904345310,Северо-Восточный административный округ,район Северное Медведково,37.639671,55.881303,"Полярная улица, дом 26, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.639671, 55.881303]}",0
3287,16.09.2018,904345311,Юго-Восточный административный округ,район Марьино,37.711563,55.647645,"Донецкая улица, дом 26",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.711563, 55.647645]}",0
3288,03.09.2018,904345312,Северо-Восточный административный округ,район Свиблово,37.660386,55.851975,"Уржумская улица, дом 1 корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.660386, 55.851975]}",0
